epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1836,4.88274,6.56948,4.28602,0,0,0,0,4.64295,6.04236,4.156,0.00046676,0.00046676,0.00046676
2,47.546,3.64271,4.06643,3.40626,0,0,0,0,4.67019,5.67537,4.17046,0.000945487,0.000945487,0.000945487
3,71.8497,2.91312,2.79116,2.49968,2e-05,0.00153,0,0,4.35481,5.26844,3.87905,0.00141943,0.00141943,0.00141943
4,92.6542,2.61991,2.25517,2.1886,0.17917,0.11792,0.0836,0.02523,2.91531,3.23747,2.61085,0.00164225,0.00164225,0.00164225
5,113.546,2.49098,2.07092,2.05201,0.28171,0.28484,0.16833,0.04318,3.15134,3.64343,2.69687,0.00163399,0.00163399,0.00163399
6,135.442,2.39176,1.87338,1.93931,0.4966,0.42726,0.38613,0.13271,2.5013,2.18752,2.14799,0.00162574,0.00162574,0.00162574
7,155.549,2.38914,1.8167,1.93404,0.52706,0.48851,0.45954,0.16264,2.30799,1.93926,1.98381,0.00161749,0.00161749,0.00161749
8,177.983,2.33372,1.75328,1.88556,0.52275,0.55743,0.46329,0.18178,2.23323,1.94793,1.943,0.00160924,0.00160924,0.00160924
9,199.821,2.2848,1.70885,1.86189,0.51163,0.46095,0.40608,0.14003,2.4133,1.84823,2.03577,0.00160099,0.00160099,0.00160099
10,222.418,2.24107,1.6546,1.82033,0.51283,0.50842,0.47411,0.17681,2.21257,1.73686,1.89971,0.00159274,0.00159274,0.00159274
11,244.018,2.19794,1.59212,1.78868,0.66009,0.54211,0.58431,0.21924,2.21965,1.63806,1.88427,0.00158448,0.00158448,0.00158448
12,263.916,2.16839,1.5353,1.75575,0.56966,0.54671,0.53941,0.20156,2.1691,1.6256,1.84078,0.00157623,0.00157623,0.00157623
13,285.631,2.17227,1.53076,1.74312,0.54722,0.55895,0.50965,0.18721,2.1717,1.81376,1.84417,0.00156798,0.00156798,0.00156798
14,305.449,2.13568,1.47178,1.71613,0.49748,0.57427,0.49207,0.1695,2.25497,1.66698,1.93642,0.00155973,0.00155973,0.00155973
15,325.256,2.15824,1.50903,1.72933,0.67172,0.55777,0.63323,0.24327,2.18595,1.50295,1.85012,0.00155148,0.00155148,0.00155148
16,347.796,2.11443,1.47494,1.70023,0.69367,0.52709,0.60387,0.23768,2.15698,1.5815,1.82188,0.00154323,0.00154323,0.00154323
17,368.091,2.06511,1.43669,1.65965,0.7936,0.56815,0.67586,0.26068,2.17274,1.46693,1.83451,0.00153497,0.00153497,0.00153497
18,390.267,2.0938,1.45305,1.69757,0.72328,0.58038,0.66087,0.27155,2.08127,1.48773,1.78124,0.00152672,0.00152672,0.00152672
